OBJECTID,EPT,Cnt_EPT
-1,3003096,1
-1,3003104,1
-1,3003107,2
-1,3003110,1
-1,3003112,1
-1,3003116,1
-1,3003131,1
-1,3003151,1
-1,3003184,2
-1,3003185,1
-1,3003188,1
-1,3003190,2
-1,3003191,1
-1,3003192,1
-1,3003193,1
-1,3003195,1
-1,3003196,2
-1,3003199,1
-1,3003200,2
-1,3003201,2
-1,3003203,1
-1,3003206,1
-1,3003208,1
-1,3003209,1
-1,3003212,2
-1,3003214,1
-1,3003217,1
-1,3003219,1
-1,3003224,2
-1,3003226,2
-1,3003227,1
-1,3003229,1
-1,3003231,1
-1,3003233,1
-1,3003237,1
-1,3003248,1
-1,3003251,2
-1,3003252,1
-1,3003253,1
-1,3003264,1
-1,3003267,1
-1,3003273,1
-1,3003275,1
-1,3003276,2
-1,3003279,2
-1,3003281,2
-1,3003282,1
-1,3003283,2
-1,3003284,2
-1,3003285,1
-1,3003286,2
-1,3003294,1
-1,3003295,2
-1,3003304,1
-1,3003305,1
-1,3003308,1
-1,3003327,1
-1,3003333,1
-1,3003334,1
-1,3003335,1
-1,3003337,1
-1,3003345,1
-1,3003346,1
-1,3003347,1
-1,3003348,2
-1,3003352,1
-1,3003363,1
-1,3003368,1
-1,3003374,1
-1,3003390,1
-1,3003393,1
-1,3003403,1
-1,3003408,1
-1,3003411,1
-1,3003417,1
-1,3003421,1
-1,3003423,1
-1,3003426,1
-1,3003440,1
-1,3003446,1
-1,3003454,2
-1,3003462,1
-1,3003465,1
-1,3003482,1
-1,3003484,1
-1,3003494,1
-1,3003498,1
-1,3003509,1
-1,3003515,1
-1,3003528,1
-1,3003530,1
-1,3003535,3
-1,3003536,2
-1,3003538,1
-1,3003540,1
-1,3003542,1
-1,3003543,1
-1,3003545,1
-1,3003546,1
-1,3003547,2
-1,3003549,2
-1,3003550,2
-1,3003551,1
-1,3003553,1
-1,3003555,1
-1,3003559,1
-1,3003562,2
-1,3003563,2
-1,3003565,1
-1,3003567,2
-1,3003568,2
-1,3003569,1
-1,3003570,1
-1,3003571,1
-1,3003574,2
-1,3003576,1
-1,3003579,1
-1,3003580,1
-1,3003581,2
-1,3003582,1
-1,3003583,2
-1,3003584,1
-1,3003585,1
-1,3003586,2
-1,3003588,2
-1,3003589,1
-1,3003593,2
-1,3003594,1
-1,3003596,1
-1,3003598,1
-1,3003600,2
-1,3003601,2
-1,3003602,2
-1,3003603,1
-1,3003606,1
-1,3003608,2
-1,3003609,1
-1,3003612,2
-1,3003613,2
-1,3003615,1
-1,3003616,1
-1,3003617,2
-1,3003620,1
-1,3003622,1
-1,3003623,2
-1,3003624,2
-1,3003626,2
-1,3003628,2
-1,3003629,2
-1,3003631,1
-1,3003632,5
-1,3003633,1
-1,3003634,2
-1,3003635,1
-1,3003636,1
-1,3003637,1
-1,3003638,2
-1,3003641,1
-1,3003643,1
-1,3003646,1
-1,3003649,2
-1,3003650,1
-1,3003652,1
-1,3003655,2
-1,3003658,1
-1,3003659,2
-1,3003662,1
-1,3003663,1
-1,3003667,1
-1,3003671,1
-1,3003672,1
-1,3003679,2
-1,3003683,2
-1,3003686,1
-1,3003687,2
-1,3003690,2
-1,3003694,2
-1,3003695,1
-1,3003698,1
-1,3003709,1
-1,3003720,1
-1,3003723,1
-1,3003755,1
-1,3003756,1
-1,3003762,1
-1,3003781,1
-1,3003783,1
-1,3003787,2
-1,3003795,1
-1,3003809,1
-1,3003826,1
-1,3003827,1
-1,3003834,1
-1,3003836,1
-1,3003844,1
-1,3003848,1
-1,3003851,1
-1,3003853,1
-1,3003868,2
