OBJECTID,BPT,Cnt_BPT
-1,3001241,1
-1,3001248,1
-1,3001261,5
-1,3001266,1
-1,3001270,1
-1,3001282,1
-1,3001283,1
-1,3001284,1
-1,3001290,1
-1,3001293,1
-1,3001307,1
-1,3001308,1
-1,3001319,1
-1,3001330,1
-1,3001339,2
-1,3001355,1
-1,3001357,1
-1,3001361,1
-1,3001363,2
-1,3001368,1
-1,3001372,2
-1,3001375,1
-1,3001379,3
-1,3001381,2
-1,3001383,1
-1,3001388,1
-1,3001392,2
-1,3001393,1
-1,3001396,1
-1,3001409,1
-1,3001415,2
-1,3001417,1
-1,3001418,5
-1,3001423,1
-1,3001427,2
-1,3001428,2
-1,3001430,1
-1,3001436,1
-1,3001440,1
-1,3001447,1
-1,3001448,1
-1,3001452,2
-1,3001462,1
-1,3001466,1
-1,3001470,1
-1,3001485,1
-1,3001493,1
-1,3001495,1
-1,3001496,2
-1,3001497,1
-1,3001498,1
-1,3001505,1
-1,3001510,2
-1,3001512,1
-1,3001519,1
-1,3001527,1
-1,3001530,1
-1,3001531,2
-1,3001532,1
-1,3001533,1
-1,3001537,1
-1,3001538,2
-1,3001540,1
-1,3001542,1
-1,3001548,1
-1,3001551,2
-1,3001552,1
-1,3001553,2
-1,3001555,2
-1,3001556,2
-1,3001558,1
-1,3001561,2
-1,3001565,2
-1,3001567,3
-1,3001571,1
-1,3001572,1
-1,3001575,1
-1,3001580,1
-1,3001591,1
-1,3001598,1
-1,3001599,1
-1,3001600,2
-1,3001605,2
-1,3001611,1
-1,3001615,1
-1,3001620,1
-1,3001624,1
-1,3001634,1
-1,3001638,2
-1,3001639,1
-1,3001643,2
-1,3001645,2
-1,3001650,2
-1,3001660,1
-1,3001677,1
-1,3001685,1
-1,3001692,1
-1,3001694,1
-1,3001695,1
-1,3001699,1
-1,3001701,2
-1,3001704,1
-1,3001710,2
-1,3001712,1
-1,3001718,1
-1,3001719,1
-1,3001722,1
-1,3001726,1
-1,3001729,1
-1,3001738,1
-1,3001742,1
-1,3001745,1
-1,3001746,1
-1,3001754,1
-1,3001756,1
-1,3001760,1
-1,3001761,1
-1,3001762,2
-1,3001763,1
-1,3001776,1
-1,3001778,2
-1,3001790,2
-1,3001791,2
-1,3001794,1
-1,3001795,2
-1,3001797,1
-1,3001798,1
-1,3001804,1
-1,3001807,1
-1,3001809,1
-1,3001812,1
-1,3001813,2
-1,3001814,1
-1,3001815,2
-1,3001816,1
-1,3001818,1
-1,3001820,2
-1,3001825,1
-1,3001829,1
-1,3001832,1
-1,3001834,1
-1,3001837,1
-1,3001842,1
-1,3001843,1
-1,3001845,1
-1,3001848,1
-1,3001849,2
-1,3001850,1
-1,3001852,2
-1,3001853,1
-1,3001854,1
-1,3001855,1
-1,3001856,2
-1,3001861,2
-1,3001862,1
-1,3001863,1
-1,3001864,1
-1,3001866,1
-1,3001867,1
-1,3001869,1
-1,3001870,1
-1,3001871,1
-1,3001872,2
-1,3001873,1
-1,3001874,1
-1,3001875,1
-1,3001876,2
-1,3001877,1
-1,3001878,1
-1,3001880,1
-1,3001881,2
-1,3001882,1
-1,3001886,2
-1,3001887,1
-1,3001888,1
-1,3001889,1
-1,3001891,1
-1,3001892,1
-1,3001894,2
-1,3001896,2
-1,3001899,1
-1,3001900,1
-1,3001901,1
-1,3001903,2
-1,3001904,2
-1,3001905,2
-1,3001906,1
-1,3001907,1
-1,3001908,2
-1,3001913,2
-1,3001914,2
-1,3001915,2
-1,3001916,1
-1,3001918,1
-1,3001921,1
-1,3001923,2
-1,3001924,2
-1,3001926,2
-1,3001927,1
-1,3001928,1
-1,3001929,2
-1,3001930,2
-1,3001931,2
-1,3001933,1
-1,3001936,1
-1,3001937,2
-1,3001941,4
-1,3001942,2
-1,3001945,1
-1,3001947,2
-1,3001948,2
-1,3001950,1
-1,3001951,2
-1,3001954,2
-1,3001956,2
-1,3001959,1
-1,3001963,2
-1,3001965,1
-1,3001968,2
-1,3001972,2
-1,3001974,1
-1,3001975,1
-1,3001976,2
-1,3001977,1
-1,3001978,1
-1,3001981,2
-1,3001982,2
-1,3001984,1
-1,3001986,1
-1,3001989,1
-1,3001991,1
-1,3001994,1
-1,3001996,2
-1,3001998,1
-1,3002002,2
-1,3002004,1
-1,3002010,2
-1,3002011,1
-1,3002012,2
-1,3002019,2
-1,3002022,3
-1,3002023,1
-1,3002026,1
-1,3002030,1
-1,3002031,2
-1,3002032,2
-1,3002033,1
-1,3002042,2
-1,3002045,1
-1,3002048,2
-1,3002052,1
-1,3002059,2
-1,3002069,1
-1,3002074,1
-1,3002075,2
-1,3002076,1
-1,3002080,1
-1,3002081,1
-1,3002083,1
-1,3002091,1
-1,3002093,1
-1,3002096,2
-1,3002097,1
-1,3002100,2
-1,3002111,1
-1,3002112,1
-1,3002115,1
-1,3002118,2
-1,3002120,1
-1,3002128,1
-1,3002129,1
-1,3002131,2
-1,3002132,1
-1,3002134,2
-1,3002136,1
-1,3002138,1
-1,3002140,2
-1,3002141,1
-1,3002147,2
-1,3002176,1
-1,3002187,1
-1,3002191,1
-1,3002210,1
-1,3002211,1
-1,3002215,1
-1,3002220,2
-1,3002224,2
-1,3002225,1
-1,3002228,1
-1,3002232,2
-1,3002249,1
-1,3002257,2
-1,3002259,2
-1,3002271,1
-1,3002278,2
-1,3002287,1
-1,3002292,1
-1,3002293,1
-1,3002294,1
-1,3002295,1
-1,3002298,1
-1,3002303,1
-1,3002304,2
-1,3002310,1
-1,3002315,1
-1,3002316,1
-1,3002317,1
-1,3002318,2
-1,3002323,2
-1,3002324,1
-1,3002332,2
-1,3002334,1
-1,3002338,2
-1,3002341,3
-1,3002344,2
-1,3002346,1
-1,3002347,2
-1,3002349,2
-1,3002351,1
-1,3002356,2
-1,3002357,1
-1,3002358,2
-1,3002360,2
-1,3002362,2
-1,3002363,2
-1,3002366,1
-1,3002368,1
-1,3002383,1
-1,3002384,2
-1,3002386,1
-1,3002391,1
-1,3002395,1
-1,3002396,1
-1,3002397,1
-1,3002398,2
-1,3002400,1
-1,3002402,1
-1,3002407,2
-1,3002409,2
-1,3002410,1
-1,3002413,1
-1,3002414,1
-1,3002425,2
-1,3002432,1
-1,3002437,1
-1,3002449,1
-1,3002470,2
-1,3002479,1
-1,3002480,2
-1,3002485,1
-1,3002506,1
-1,3002523,1
-1,3002529,1
-1,3002532,2
-1,3002533,1
-1,3002534,1
-1,3002535,1
-1,3002538,1
-1,3002541,2
-1,3002546,1
-1,3002547,1
-1,3002549,1
-1,3002565,2
-1,3002568,1
-1,3002575,2
-1,3002577,1
-1,3002586,1
-1,3002589,1
-1,3002592,1
-1,3002593,1
-1,3002594,1
-1,3002596,1
-1,3002598,1
-1,3002599,2
-1,3002600,1
-1,3002603,1
-1,3002612,2
-1,3002619,2
-1,3002632,1
-1,3002641,1
-1,3002646,1
-1,3002651,1
-1,3002674,2
-1,3002677,1
-1,3002680,1
-1,3002681,2
-1,3002683,1
-1,3002685,1
-1,3002692,1
-1,3002697,1
-1,3002715,1
-1,3002717,2
-1,3002719,1
-1,3002721,2
-1,3002722,1
-1,3002723,1
-1,3002726,2
-1,3002727,2
-1,3002728,2
-1,3002730,1
-1,3002731,1
-1,3002736,2
-1,3002739,2
-1,3002740,2
-1,3002742,2
-1,3002744,1
-1,3002745,1
-1,3002747,2
-1,3002748,1
-1,3002749,1
-1,3002751,1
-1,3002752,1
-1,3002754,1
-1,3002755,1
-1,3002756,1
-1,3002757,2
-1,3002760,2
-1,3002763,1
-1,3002764,2
-1,3002765,1
-1,3002767,2
-1,3002770,1
-1,3002775,1
-1,3002777,1
-1,3002778,1
-1,3002780,1
-1,3002782,2
-1,3002783,2
-1,3002785,1
-1,3002787,2
-1,3002788,2
-1,3002789,2
-1,3002790,2
-1,3002791,2
-1,3002792,1
-1,3002793,1
-1,3002796,1
-1,3002797,2
-1,3002801,3
-1,3002802,2
-1,3002803,1
-1,3002804,1
-1,3002807,2
-1,3002811,1
-1,3002813,1
-1,3002814,2
-1,3002815,2
-1,3002817,1
-1,3002818,1
-1,3002819,1
-1,3002822,1
-1,3002823,2
-1,3002824,1
-1,3002825,1
-1,3002827,1
-1,3002828,2
-1,3002830,1
-1,3002833,2
-1,3002834,1
-1,3002838,1
-1,3002840,1
-1,3002841,2
-1,3002845,2
-1,3002847,1
-1,3002853,2
-1,3002854,1
-1,3002855,2
-1,3002856,1
-1,3002857,1
-1,3002859,2
-1,3002860,1
-1,3002863,2
-1,3002868,1
-1,3002869,2
-1,3002876,1
-1,3002877,1
-1,3002879,2
-1,3002880,2
-1,3002881,2
-1,3002882,1
-1,3002884,1
-1,3002885,1
-1,3002888,1
-1,3002889,1
-1,3002891,1
-1,3002897,2
-1,3002898,2
-1,3002901,1
-1,3002902,1
-1,3002904,2
-1,3002910,2
-1,3002916,1
-1,3002920,1
-1,3002922,1
-1,3002923,2
-1,3002928,1
-1,3002929,1
