OBJECTID,ROADNAME,Cnt_ROADNAME
1163,Iroquois Cir,2
1164,Iroquois trl,1
1165,Iroquois Trl,22
1166,Iroquois/Cove Cutoff,1
1167,Iroquois/Ottawa Cutoff,1
1168,Irving Ave,1
1169,Irving St,4
1170,Island Ave,1
1171,Island Lake Rd,3
1172,Island View Cir,1
1173,Island View Ct,1
1174,Island View Trl,3
1175,J Dr,2
1176,Jack Pine Ct,1
1177,Jack Pine Dr,2
1178,Jack Rabbit Ct,3
1179,Jack Wilson Rd,1
1180,Jackson St,1
1181,Jakes Aly,1
1182,James Ave,2
1183,James Ct,1
1184,James Dr,2
1185,James St,7
1186,Jane St,1
1187,Janet Dr,5
1188,Janice St,2
1189,Jansen Woods Ct,1
1190,Jasmine Dr,2
1191,Jaycee Park Dr,1
1192,Jeff's Way,1
1193,Jefferson Ct,1
1194,Jefferson Rd,13
1195,Jefferson St,4
1196,Jeffrey Dr,1
1197,Jeffrey Spur,4
1198,Jenner Dr,5
1199,Jennifer Ln,3
1200,Jennings Ct,1
1201,Jenny St,1
1202,Jersey St,5
1203,Jewell St,1
1204,Joan Ct,3
1205,Joan Dr,3
1206,Joels Trl,1
1207,John St,1
1208,Johnson Rd,1
1209,Jolly Roger Dr,1
1210,Joseph St,1
1211,Josie Dr,2
1212,Joyce St,1
1213,Julia St,5
1214,June Ave,4
1215,June Ct,2
1216,Jupiter St,1
1217,Justin Ct,2
1218,Justin Rd,1
1219,Justin St,1
1220,Kalamazoo Dr,16
1221,Kalamazoo St,8
1222,Kalamazoo/South Shore Cutoff,2
1223,Kandel St,3
1224,Karen Dr,3
1225,Katherine St,5
1226,Katheryne Ln,1
1227,Kathy Dr,1
1228,Kay Dr,2
1229,Kay Ln,1
1230,Kay St,6
1231,Kaywood Dr,1
1232,Keewatin Ct,1
1233,Keewatin Way,1
1234,Keith St,3
1235,Kellamie St,3
1236,Kelly Creek Dr,2
1237,Kemp St,1
1238,Ken J Dr,1
1239,Kenneth Dr,1
1240,Kenneth St,1
1241,Kenny's Dr,1
1242,Kensington Park Cir,4
1243,Kenwood St,2
1244,Keppel Ln,2
1245,Kester Ave,1
1246,Keystone Rd,3
1247,Kiella Dr,1
1248,Kiess Pl,1
1249,Kim St,2
1250,Kimbel Dr,1
1251,Kimber St,5
1252,Kimberly Dr,1
1253,Kimberly Ln,1
1254,King Dr,2
1255,Kingfisher Cove Dr,1
1256,Kings Way,2
1257,Kingsway Ct,2
1258,Kinney Ln,2
1259,Kirkview Dr,2
1260,Kirkwell St,1
1261,Kittyhawk Ln,1
1262,Klingenmeyer Dr,1
1263,Knapp St,4
1264,Knight Ave,1
1265,Knowlcrest Dr,1
1266,Kooiker Dr,1
1267,Koops Dr,1
1268,Kooyers Ct,1
1269,Koteras Dr,2
1270,Kottler Dr,1
1271,Kricky Ln,1
1272,Kruz Kountry Dr,1
1273,Kuperus Ct,2
1274,Kupres Creek Dr,1
1275,Kyle Ln,1
1276,La Rochelle Ct,2
1277,La Salle St,1
1278,Labrador Ln,1
1279,Ladd St,1
1280,Lady Bug Ln,1
1281,Lafayette St,1
1282,Lagoon Pkwy,2
1283,Lake Allegan Dr,2
1284,Lake Ave,2
1285,Lake Breeze Dr,2
1286,Lake Dr,15
1287,Lake Effect Dr,2
1288,Lake Forest Ave,2
1289,Lake Forest Dr,3
1290,Lake Forest Rd,1
1291,Lake Michigan Dr,8
1292,Lake Ridge Ln,3
1293,Lake Ridge Rd,1
1294,Lake Shore Dr,7
1295,Lake Sixteen Dr,1
1296,Lake St,17
1297,Lake Trail Dr,1
1298,Lake View Dr,1
1299,Lake Woods Dr,1
1300,Lakeland Dr,1
1301,Lakeshore Ct,1
1302,Lakeshore Dr,49
1303,Lakeside Ave,2
1304,Lakeside Dr,3
1305,Laketown Dr,3
1306,Lakeview Ave,7
1307,Lakeview Ct,2
1308,Lakeview Dr,5
1309,Lakeview Ln,1
1310,Lakeview St,1
1311,Lakeview Terr,2
1312,Lakewood Dr,1
1313,Lakewood Ln,1
1314,Lakewood Shores Dr,2
1315,Lamar Ct,2
1316,Landsburg Rd,2
1317,Lane St,1
1318,Lantern Watch,3
1319,Larry Blvd,1
1320,Larry Dr,1
1321,LaRue Ln,3
1322,Lauder Ave,1
1323,Laura Ln,2
1324,Laura St,2
1325,Lauren St,1
1326,Laurence Ave,2
1327,Lawn St,2
1328,Lawrence Ave,2
1329,Lawrence Dr,9
1330,Lawrence Ln,1
1331,Le Boeuf Ln,1
1332,Le Vine St,1
1333,Leafy Ln,1
1334,Leap Frog Ln,1
1335,Lebarre St,1
1336,Lee St,4
1337,Leeds St,1
1338,Legacy Woods Dr,1
1339,Leighton Lakes Dr,2
1340,Leisure Ct,4
1341,Leisure Dr,3
1342,Leisure St,4
1343,Leo's Ln,2
1344,Leon Ave,2
1345,Lesa St,2
1346,Lester Lake Dr,1
1347,Leverich Ln,2
1348,Lewis Ln,1
1349,Liberty Ct,1
1350,Liberty St,3
1351,Lighthouse Ct,2
1352,Lighthouse Way,3
1353,Lilac Ln,6
1354,Lilac St,3
1355,Liland Trce,1
1356,Lillie Dr,2
1357,Lilly Ct,2
1358,Lily Ln,1
1359,Lilypad Ln,1
1360,Limberlost Ln,2
1361,Lincoln Ave,28
1362,Lincoln Pkwy,3
1363,Lincoln Rd,104
1364,Lincoln St,11
1365,Lincolnshire Dr,4
1366,Linda St,1
1367,Linn St,6
1368,Lisa,1
1369,Lisa Ln,2
1370,Litchfield Dr,5
1371,Litchfield Pl,2
1372,Little Diamond St,1
1373,Little Sable Dr,3
1374,LittleJohn Lake Rd,1
1375,Liverpool,1
1376,Livvie Ln,1
1377,Locust Grove Ave,1
1378,Locust St,5
1379,Loew Hills Dr,1
1380,Loew Rd,1
1381,Logan Ct,2
1382,Lohman Dr,2
1383,Lois Ln,1
1384,London St,1
1385,Lone Oak Ct,2
1386,Lone Oak Dr,2
1387,Lone Oak Ln,1
1388,Lone Oak Path,1
1389,Lone Pine Trl,1
1390,Long Rd,1
1391,Longfellow Dr,4
1392,Longview Ct,2
1393,Lorene St,1
1394,Lorna Ln,1
1395,Lorraine Dr,4
1396,Lorrimar Ln,1
1397,Lou St,1
1398,Lovers Ln,2
1399,Lowe St,3
1400,Luciel St,2
1401,Lucielle Dr,1
1402,Lucy St,2
1403,Lugers Rd,6
1404,Lynn St,1
1405,M-40/E I-196 RAMP,1
1406,M 40,41
1407,M 40/E I 196 RAMP,2
1408,M 40/W I 196 RAMP,3
1409,M 89,29
1410,M 89/S US 131 RAMP,1
1411,M Brown St,2
1412,M Dr,1
1413,Maas Ln,2
1414,Mac St,1
1415,MacAlpine Ter,3
1416,MacBeth Ave,2
1417,Macdougall Dr,3
1418,MacDougall Dr,2
1419,Mackenzie Dr,1
1420,Main,8
1421,Main St,7
1422,Maize Ln,1
1423,Maksaba Trl,5
1424,Mallard,1
1425,Mallard Dr,2
1426,Mallard St,1
1427,Manchester Ct,1
1428,Manchester Ln,2
1429,Manchester St,2
1430,Mandan Cir,2
1431,Mandan Trl,1
1432,Manitoba Trl,3
1433,Mankin St,2
1434,Manlius Rd,2
1435,Manncreek Dr,4
1436,Manor Ln,2
1437,Maple Ave,8
1438,Maple Gate Dr,2
1439,Maple Greens Ln,1
1440,Maple Lake Dr,2
1441,Maple Lane Ave,1
1442,Maple Leaf Ln,2
1443,Maple Ln,11
1444,Maple St,16
1445,Maple Woods Dr,1
1446,Maraleighde Dr,1
1447,Marcia Ln,2
1448,Margaret Dr,5
1449,Mariette St,1
1450,Mariners Cove Ct,1
1451,Marion Ave,1
1452,Markus Glen Rd,2
1453,Marlo Ln,1
1454,Marsh Rd,11
1455,Marshall Ln,2
1456,Marshall St,16
1457,Martha Ct,1
1458,Martin St,4
1459,Marty Dr,2
1460,Marvin Ave,1
1461,Mary Knoll Dr,1
1462,Mary Lynn Ln,1
1463,Mary Rd,3
1464,Mary Rd Eagle Lake Access,1
1465,Mary St,15
1466,Mason St,11
1467,Masters Ln,3
1468,Matehuala Ave,1
1469,Matt Urban Dr,1
1470,Maxwell St,1
1471,May Ave,6
1472,Maywood Dr,1
1473,Mazzie Ln,1
1474,McCreery Dr,1
1475,McKinley St,2
1476,McMulan Way,1
1477,McVea Dr,2
1478,Meade Rd,2
1479,Meadow Ave,1
1480,Meadow Creek Dr,1
1481,Meadow Creek Ln,2
1482,Meadow Ct,2
1483,Meadow Dr,2
1484,Meadow Ln,8
1485,Meadow Pond Way,1
1486,Meadow Wood Ln,2
1487,Meadowbrook Dr,3
1488,Meadowlark Ln,2
1489,Medie St,2
1490,Medlock St,1
1491,Megan Ln,1
1492,Melanie Ln,1
1493,Melodee Park Dr,1
1494,Melody Ln,2
1495,Melrose St,1
1496,Melville Pl,1
1497,Melvin Dr,2
1498,Mercury Ct,2
1499,Merson St,1
1500,Mesa Ct,2
1501,Metcalf's Dr,3
1502,Mexico Ln,1
1503,Meyer Dr,3
1504,Mia St,1
1505,Miami Ave,3
1506,Michele Ln,1
1507,Michigan Ave,4
1508,Michigan Dr,2
1509,Middle St,2
1510,Midlakes Blvd,4
1511,Midway Dr,4
1512,Mildred Ave,1
1513,Mill District Rd,3
1514,Mill St,5
1515,Millbridge Ave,2
1516,Miller Dr,3
1517,Miller Rd,16
1518,Millers Ln,1
1519,Millstone Dr,4
1520,Miner Lake BAS,1
1521,Miner Lake Dr,1
1522,Miner Lake Rd,1
1523,Miner Ln,2
1524,Minkler Lake Dr,2
1525,Minkler Rd,2
1526,Mishawaka Walk,1
1527,Mitchell Ct,3
1528,Mitchell Dr,1
1529,Mitchell St,2
1530,Mixer St,3
1531,Mohawk Cir,1
1532,Mohawk Ct,2
1533,Mohawk Trl,8
1534,Mollie Ln,1
1535,Monroe Ct,1
1536,Monroe Ln,1
1537,Monroe Rd,25
1538,Monroe St,5
1539,Monterey Bay Cir,2
1540,Monterey Lake,1
1541,Monterey Lake Cir,2
1542,Monterey Lake Dr,2
1543,Monterey Lake Trl,7
1544,Montrose Ave,3
1545,Moon Dr,1
1546,Moore Dr,3
1547,Moore Rd,5
1548,Moore St,1
1549,Morning Dew Ln,1
1550,Morrell St,4
1551,Morren Ct,4
1552,Morren Ln,1
1553,Morrison Rd,1
1554,Morter Rd,1
1555,Mosley Dr,1
1556,Mossy Oak Dr,1
1557,Mountain Ash Ln,1
1558,Mozart Ct,1
1559,Mulberry Ln,1
1560,Mulder Dr,1
1561,Mulderink Ln,2
1562,Muriel St,5
1563,Murphy Ln,3
1564,My Rd,1
1565,Myrtle Ave,2
1566,Myrtle St,1
1567,N 19th St,5
1568,N 4th Ave,1
1569,N Anderson St,5
1570,N Apple Ct,2
1571,N Apple Ln,2
1572,N Arrowhead Trl,1
1573,N Audubon Rd,4
1574,N Baseline Lake Rd,1
1575,N Big Lake Dr,2
1576,N Blue Star Hwy,9
1577,N Cedar St,5
1578,N Cherry Ave,1
1579,N Clark St,1
1580,N Eastern Ave,4
1581,N Fair St,1
1582,N Farmer St,8
1583,N Ferry St,4
1584,N Forrest St,5
1585,N Franklin St,2
1586,N Grant St,3
1587,N Gun River Dr,3
1588,N I 196,66
1589,N I 196/109th RAMP,1
1590,N I 196/124th RAMP,1
1591,N I 196/Blue Star RAMP,5
1592,N I 196/North Shore RAMP,1
1593,N I 196/S Blue Star RAMP,1
1594,N Lake Geneva Dr,1
1595,N Lake St,1
1596,N Laraway Ave,1
1597,N Locust St,2
1598,N Main St,41
1599,N Maple St,20
1600,N Morning Glory Ln,1
1601,N North St,4
1602,N Peach Ct,2
1603,N Platt St,1
1604,N Pratt Lake Rd,1
1605,N Riverwalk Dr,2
1606,N Ryan Ridge Dr,1
1607,N Ryan Woods Cir,2
1608,N Selby St,4
1609,N Sherman St,6
1610,N Sherwood Ave,6
1611,N Spring St,3
1612,N Sunset St,2
1613,N Union St,5
1614,N US 131,74
1615,N US 131/116th RAMP,1
1616,N US 131/124th RAMP,1
1617,N US 131/129th RAMP,1
1618,N US 131/135th RAMP,1
1619,N US 131/142nd RAMP,1
1620,N US 131/E Allegan RAMP,1
1621,N US 131/E M 89 RAMP,1
1622,N US 131/W Allegan RAMP,1
1623,N US 31,18
1624,N US 31 BR RAMP,1
1625,N US 31/Washington RAMP,1
1626,N Van Bruggen St,1
1627,N Walnut St,1
1628,N Washington St,6
1629,N Water St,3
1630,N Wilmott St,2
1631,N Woodhams St,1
1632,Nadeau Dr,2
1633,Nahant Path,1
1634,Naman Ct,2
1635,Nantucket Dr,4
1636,Naomi St,4
1637,Nate Dr,1
1638,Nate St,1
1639,Natilyn Dr,2
1640,Nature View Dr,2
1641,Nature View Ln,2
1642,Nellie Dr,3
1643,Nelson Ct,2
1644,Nelson Ln,1
1645,New Richmond BAS,4
1646,New Richmond Bridge,5
1647,Newell St,2
1648,Newman Dr,1
1649,Newnham St,1
1650,Newport Dr,2
1651,Nicholas Dr,1
1652,Nichols Ln,1
1653,Nicholson St,2
1654,Nicole Ct,1
1655,Nicolson St,7
1656,Nodding Pine Cir,2
1657,Nodding Pine Way,2
1658,Nolan Rd,1
1659,Nop Ln,2
1660,Norcrest Pl,2
1661,Normandy,1
1662,North Ave,3
1663,North Lake BAS,1
1664,North Lake Dr,7
1665,North Lake Ln,1
1666,North Memorial Dr,2
1667,North Miller Lake Rd,2
1668,North Point Dr,2
1669,North Shore Dr,25
1670,North Shore/N I 196 RAMP,1
1671,North Shore/S I 196 RAMP,3
1672,North Spur Ct,2
1673,North St,12
1674,North Stoneridge Dr,3
1675,North Vista Ln,2
1676,Northgate Dr,1
1677,Northview Ln,3
1678,Northwest Shore Dr,1
1679,Nottingham St,2
1680,Novi Pl,1
1681,Nuthatch Ct,2
1682,O'Sullivan Dr,1
1683,O D Ln,1
1684,Oak Creek Dr,1
1685,Oak Ct,3
1686,Oak Dr,2
1687,Oak Hills Dr,2
1688,Oak Hollow Ct,2
1689,Oak Leaf Ln,1
1690,Oak Rd,2
1691,Oak Ridge Cir,3
1692,Oak Ridge Dr,3
1693,Oak St,13
1694,Oak Tree Ln,1
1695,Oak Valley Dr,1
1696,Oakdale Dr,2
1697,Oakhurst St,2
1698,Oakland Hills Ct,2
1699,Oakland Hills Dr,5
1700,Oakley St,2
1701,Oakridge Dr,3
1702,Oaks Crossing,2
1703,Oakwood Ct,2
1704,Oakwood Ln,1
1705,Oakwood Trl,1
1706,Obliterated 68th/114th Cutoff,1
1707,Obliterated Blue Star Hwy,1
1708,Odawa Trl,1
1709,Ojibwa Trl,3
1710,Okemos Ln,1
1711,Old 129th Ave,1
1712,Old Allegan Otsego Rd,1
1713,Old Allegan Rd,48
1714,Old Garden Rd,1
1715,Old Interurban Dr,1
1716,Old M 40,1
1717,Old Mill Dr,2
1718,Old Owl Dr,6
1719,Old Pine Rd,2
1720,Old Silo Dr,2
1721,Old Singapore Trl,2
1722,Old Walnut Ln,1
1723,Olive Ave,1
1724,Oneida Cir,2
1725,Oneida Ct,2
1726,Oneida Trl,4
1727,Orchard Ave,4
1728,Orchard Lake Dr,12
1729,Orchard Ln,3
1730,Orchard Rd,2
1731,Orchard St,1
1732,Orchard Trl,1
1733,Orchard Valley Dr,1
1734,Orchard View Dr,1
1735,Oriole Dr,2
1736,Oriole St,2
1737,Otis Ave,3
1738,Otis Blvd,1
1739,Otis Rd,5
1740,Otis Trl,1
1741,Ototeman Trl,2
1742,Ottawa Ave,8
1743,Ottawa Cir,3
1744,Ottawa Ct,3
1745,Ottawa Trl,8
1746,Ottogan St,43
1747,Otuna Ct,4
1748,Otuna Dr,1
1749,Outlook Dr,2
1750,Oval Dr,3
1751,Overlook Dr,6
1752,Owen St,1
1753,Oxford St,4
1754,Pacific Ave,3
1755,Padgham Dr,1
1756,Palmer Dr,7
1757,Palmetto Ct,2
1758,Papoose Trl,1
1759,Par Four Ct,2
1760,Paradise Ln,3
1761,Paris Ridge Dr,1
1762,Pariso Oved Ave,2
1763,Park,4
1764,Park Ave,6
1765,Park Dr,9
1766,Park Drive Ct,1
1767,Park Ln,3
1768,Park St,28
1769,Parker Dr,1
1770,Parkside Ln,2
1771,Parkway Ave,3
1772,Parkway Dr,2
1773,Partridge Ln,2
1774,Pasture Ln,1
1775,Patterson Rd,75
1776,Patti Rd,2
1777,Paul St,1
1778,Paula St,1
1779,Pauline Dr,2
1780,Payton Pl,1
1781,Peach Ave,2
1782,Peach Creek Ct,1
1783,Peach Creek Ln,4
1784,Peach Ct,2
1785,Peach Ln,2
1786,Peach St,3
1787,Pear Pl,1
1788,Pearl St,5
1789,Penashi Trl,1
1790,Peninsula Trl,1
1791,Penn Central St,1
1792,Penn Crossing,1
1793,Penny Ln,2
1794,Peony Ave,5
1795,Pepper Brooke Ln,2
1796,Pepper Ln,1
1797,Perales Dr,1
1798,Perch Dr,3
1799,Perry Cir,1
1800,Perryman St,5
1801,Pershing Ave,3
1802,Peterson Dr,4
1803,Petoskey Dr,2
1804,Petunia Ave,3
1805,Phase 6 Entrance,1
1806,Pheasant Run Dr,2
1807,Phoenix Ct,2
1808,Pickeral Dr,1
1809,Pickwick Ln,1
1810,Pier Cove Ln,1
1811,Pierce Rd,1
1812,Pike Ct,1
1813,Pike Lake BAS,1
1814,Pike Lake Rd,2
1815,Pine Ave,9
1816,Pine Cone Cir N,2
1817,Pine Cone Cir S,2
1818,Pine Cone Trl,3
1819,Pine Creek BAS,1
1820,Pine Creek Dr,1
1821,Pine Dr,5
1822,Pine Hill Dr,1
1823,Pine Hollow Rd,2
1824,Pine Island Dr,1
1825,Pine Place Ct,2
1826,Pine Rd,3
1827,Pine Ridge Dr,5
1828,Pine River Dr,1
1829,Pine St,13
1830,Pine Trail Ln,2
1831,Pine Tree Dr,1
1832,Pine Tree Ln,3
1833,Pine Tree St,3
1834,Pinecrest Dr,1
1835,Pinegrove Dr,2
1836,Pineview Dr,2
1837,Pinewood Ln,2
1838,Pinnacle Ct,2
1839,Pinnacle Dr,2
1840,Pioneer Ave,5
1841,Pipp Hospital Access,2
1842,Pleasant Rd,1
1843,Pleasant Ridge Dr,2
1844,Pleasant St,2
1845,Pleasantview Ave,2
1846,Pleasantview Dr,1
1847,Pleasantview Ln,2
1848,Plum Holw,2
1849,Plum Ln,1
1850,Plum St,4
1851,Plummer Park Pl,1
1852,Plummerville Ln,2
1853,Plymouth Ave,2
1854,Point-of-View Dr,3
1855,Point Betsie Dr,6
1856,Ponderosa Ct,2
1857,Ponderosa Dr,5
1858,Pontiac Cir,3
1859,Pontiac Ct,3
1860,Pony Ln,1
1861,Poplar Ridge Dr,2
1862,Pottawatomie Ridge Dr,3
1863,Pottawatomie Trl,1
1864,Potwyne Pl,1
1865,Prairie Ct,2
1866,Prairie St,2
1867,Prairiewood Ct,2
1868,Prairiewood Dr,3
1869,Presbyterian Camps,1
1870,Preservation Ct,2
1871,Preservation Dr,3
1872,Prestwick Dr,3
1873,Primrose Pl,1
1874,Prince St,5
1875,Pritchard Ct,1
1876,Productions Ct,2
1877,Productions Pl,3
1878,Proline Ct,2
1879,Proposed Singapore Dunes Dr,4
1880,Proposed Singapore Dunes Way,3
1881,Prospect Rd,1
1882,Prospect St,2
1883,Pullin Dr,1
1884,Pullman Ave,5
1885,Pulver Dr,1
1886,Quade Dr,1
1887,Quail Run Dr,1
1888,Quebec Trl,4
1889,Queensway St,1
1890,Quiet Cove,1
1891,Quilters Ct,1
1892,Rabbit Ridge Dr,1
1893,Rabbit River Dr,6
1894,Rabbit River Farms Dr,1
1895,Rabbit River Ln,1
1896,Rabbit River Run,5
1897,Race Ct,1
1898,Race St,2
1899,Radstock Dr,5
1900,Railroad St,4
1901,Railside Ct,2
1902,Railside Dr,5
1903,Railside Ln,2
1904,Ramblewood Ct,1
1905,Ranchero Dr,6
1906,Randall Ln,1
1907,Ratcliff Dr,1
1908,Ravenswood Ave,2
1909,Ravine Ct,1
1910,Ravine Dr,6
1911,Ravine Rd,7
1912,Ravine Trl,1
1913,Ravines Ct,1
1914,Ravinna Ave,1
1915,Raylynn Ln,1
1916,Raymond Blvd,3
1917,Raynes Dr,2
1918,Recreation Dr,2
1919,Red Fox Ct,2
1920,Red Fox Ln,1
1921,Red Oak Dr,2
1922,Red Pine Dr,1
1923,Red Pine Rd,2
1924,Red Run Dr,2
1925,Redman Pkwy,1
1926,Redwood Ln,1
1927,Regent Blvd,5
1928,Regent St,2
1929,Regina Trl,3
1930,Reimink St,1
1931,Remington Ct,4
1932,Reno Dr,6
1933,Reserve Way,2
1934,Retreat Rd,1
1935,Revs Rd,1
1936,Reynolds St,2
1937,Rhonda Dr,3
1938,Rice Dr,1
1939,Richards Dr,1
1940,Richardson Dr,3
1941,Richelieu St,5
1942,Richland Ct,2
1943,Ridge Ave,3
1944,Ridge Ct,1
1945,Ridge Rd,1
1946,Ridge St,1
1947,Ridgeview Ct,2
1948,Ridgeview Ln,2
1949,Ridgeway St,2
1950,Ridgewood Dr,1
1951,River Ct,3
1952,River Lane Rd,2
1953,River Ledge Dr,2
1954,River Ln,1
1955,River Rd,7
1956,River Ridge Ct,6
1957,River Ridge Dr,7
1958,River St,16
1959,Riverbend Dr,4
1960,Riverbend Trl,1
1961,Riverbluff Ct,2
1962,Riverbluff Trl,5
1963,Riverfront Plz,1
1964,Rivers Edge,2
1965,Riverside Dr,7
1966,Riverside Rd,15
1967,Riverview Dr,14
1968,Riverview Park Dr,2
1969,Riverwalk Dr,1
1970,Roberts St,2
1971,Robin St,1
1972,Robinson St,4
1973,Rockwood Ave,3
1974,Roger Dr,1
1975,Rolling Hills Dr,2
1976,Rolling Meadows Dr,2
1977,Rolling Oaks Ct,2
1978,Rolling Oaks Ln,1
1979,Rolling Ridge Dr,2
1980,Rolling Way,3
1981,Rollingview Dr,2
1982,Ronalds Rd,7
1983,Rookus Dr,3
1984,Rosco Dr,1
1985,Rose Bud Ln,1
1986,Rose Dr,3
1987,Rose Ln,1
1988,Rose St,1
1989,Rosewood Ave,7
1990,Round Lake Cir,1
1991,Round Lake Ct,3
1992,Round Lake Dr,7
1993,Royce Ave,1
1994,Ruby Ln,2
1995,Ruby St,7
1996,Rupprecht Way,3
1997,Rushing Dr,3
1998,Russcher Rd,5
1999,Russell Ct,2
2000,Russell St,4
2001,Russet Dr,2
2002,Russon Rd,1
2003,Rustic Ln,1
2004,Rustic Rd,1
2005,Rustic Ridge Rd,1
2006,Ryan Ridge Ct,2
2007,Ryan St,1
2008,Ryan Woods Ct,3
2009,Ryan Woods Dr,1
2010,Ryder Rd,1
2011,Rymore Wood,2
2012,S Acorn St,1
2013,S Anderson St,7
2014,S Apple Ct,2
2015,S Arrowhead Trl,1
2016,S Audubon St,6
2017,S Blue Star Hwy,9
2018,S Cedar St,3
2019,S Cherry Ave,6
2020,S Clark St,5
2021,S Division Ave,1
2022,S Fair St,6
2023,S Farmer St,8
2024,S Fenner Lake Rd,2
2025,S Ferry St,2
2026,S Franklin St,1
2027,S Geneva Lake Dr,1
2028,S Goodell St,2
2029,S Grant St,5
2030,S I 196,70
2031,S I 196/109th RAMP,1
2032,S I 196/124th RAMP,1
2033,S I 196/Blue Star RAMP,4
2034,S I 196/North Shore RAMP,1
2035,S Kensington Dr,6
2036,S Lake Geneva Dr,2
2037,S Lake Sixteen Dr,1
2038,S Laraway Ave,1
2039,S Locust St,7
2040,S Main St,25
2041,S Maple St,11
2042,S Morning Glory,1
2043,S North St,8
2044,S Peach Ct,2
2045,S Platt St,4
2046,S Pratt Lake Dr,1
2047,S Riverwalk Dr,2
2048,S Round Lake Dr,7
2049,S Ryan Ridge Dr,1
2050,S Ryan Woods Dr,1
2051,S Selby St,2
2052,S Sheridan St,1
2053,S Sherman St,9
2054,S Sherwood Ave,4
2055,S Spring St,2
2056,S Sunset St,3
2057,S Union St,6
2058,S US 131,71
2059,S US 131/106th RAMP,1
2060,S US 131/116th RAMP,1
2061,S US 131/12th RAMP,3
2062,S US 131/135th RAMP,1
2063,S US 131/142nd RAMP,1
2064,S US 131/E Allegan RAMP,1
2065,S US 131/W M 89 RAMP,1
2066,S US 31,16
2067,S US 31 BR RAMP,3
2068,S US 31/Bus US 31 RAMP,1
2069,S US 31/Washington RAMP,2
2070,S Van Bruggen St,1
2071,S Walnut St,1
2072,S Washington Ave,28
2073,S Washington St,3
2074,S Water St,7
2075,S Waverly Ct,2
2076,S Wilmott St,13
2077,S Woodhams St,7
2078,Sagewood Ct,2
2079,Sagewood Trl,1
2080,Sailview Dr,5
2081,Saint Peters Dr,2
2082,Saint Sebina,1
2083,Salem Cir,1
2084,Salem Ct,1
2085,Salem Dr,1
2086,Salem Rd,1
2087,Sambroek Ln,4
2088,Samuel St,1
2089,Sanctuary Way,4
2090,Sand Castle View,2
2091,Sand Creek Ln,1
2092,Sandcastle Dr,2
2093,Sandra Dr,1
2094,Sandra Kay Dr,2
2095,Sandra Ln,1
2096,Sandy Beach,1
2097,Sandy Dr,2
2098,Sandy Pines Dr,1
2099,Sandy Ridge Ct,1
2100,Sandy Ridge Dr,3
2101,Sandy Ridge Ln,4
2102,Sandy View Dr,1
2103,Sara Ln,1
2104,Sarah St,2
2105,Saskatoon Trl,1
2106,Sassafras Dr,2
2107,Sassafras Ln,2
2108,Saturn Dr,4
2109,Saugatuck Dunes Park Rd,1
2110,Saugatuck Dunes State Park Rd,2
2111,Saugatuck Rest Area,4
2112,Saugatuck Rest Area RAMP,2
2113,Sauk Cir,2
2114,Sauk Ct,2
2115,Scarborough Ave,1
2116,Scarborough Ct,1
2117,Scenic Dr,4
2118,Scenic Shores Dr,1
2119,Scenic View Dr,2
2120,Schaffer Dr,1
2121,Schanz Rd,4
2122,Schermerhorn Lake Dr,5
2123,School Dr,4
2124,School St,1
2125,Schoolhouse Ln,1
2126,Schultz Park Boat Launch,5
2127,Schultz Park Dr,4
2128,Scotch Pine Cir,2
2129,Scott St,1
2130,Scurio Ln,1
2131,Sea Gate Ave,2
2132,Secluded Acres Ct,1
2133,Secluded Acres Dr,3
2134,Second Ave,1
2135,Second Division St,1
2136,Second St,13
2137,Seiser Dr,1
2138,Selkirk Lake Dr,1
2139,Selly Oak Ave,1
2140,Serenity Ln,1
2141,Serenity Now,2
2142,Serenity Pines Dr,3
2143,Serenity Ridge Dr,2
2144,Serry Dr,3
2145,Service St,1
2146,Settlers Creek Rd,2
2147,Seymour Dr,2
2148,Shady Creek Dr,2
2149,Shady Ln,1
2150,Shady Oak Ln,1
2151,Shady View Trl,1
2152,Shag Way Dr,1
2153,Shangrai La Dr,3
2154,Shangri La Cir,2
2155,Sharon Blvd,1
2156,Sharon Dr,1
2157,Sharon Ln,1
2158,Sharps Rd,1
2159,Shawnee Cir,2
2160,Shawnee Trl,4
2161,Sheen Hollow,2
2162,Sheffer Lake BAS,1
2163,Sheffield Ln,1
2164,Shekora Shores Dr,2
2165,Shepherds Ct,1
2166,Sherman Ct,1
2167,Sherman St,3
2168,Sherwood Ave,5
2169,Sherwood St,7
2170,Sherwood Trl,3
2171,Shipwreck Ln,2
2172,Shirley Ln,2
2173,Shore Crest Dr,2
2174,Shore Dr,5
2175,Shoreline Cir,2
2176,Shoreline Ln,1
2177,Shorewood Dr,4
2178,Shorewood Dunes Trl,1
2179,Short St,2
2180,Sib Rumery St,2
2181,Sigmund Bluff Rd,1
2182,Signal Point Cir,1
2183,Signal Point Dr,3
2184,Silas Dr,1
2185,Silver Acres Dr,1
2186,Silver Creek Dr,3
2187,Silver Lake Dr,4
2188,Silver Lake Rd,1
2189,Silver Leaf Trl,1
2190,Silver Rd,1
2191,Silverhawk Dr,4
2192,Silverstone Dr,2
2193,Simonson Dr,3
2194,Singapore Ct,1
2195,Singapore Dr,2
2196,Sir Knight Rd,1
2197,Sixteen Lake BAS,1
2198,Skinner Ln,1
2199,Skylark Ct,2
