OBJECTID,ROADNAME,Cnt_ROADNAME
141,59th St,19
142,5th St,29
143,60th St,71
144,61st St,13
145,62nd St,60
146,63rd St,30
147,64th Ave,2
148,64th St,67
149,65th St,27
150,66th St,69
151,67th St,2
152,68th St,20
153,69th St,3
154,6th St,39
155,70th St,12
156,71st St,12
157,72nd Ave,3
158,72nd St,3
159,74th St,10
160,7th St,29
161,8th St,25
162,9th St,24
163,A Ave,5
164,A St,1
165,Abandoned 118th Ave,1
166,Abandoned 132nd Ave,2
167,Abandoned Ridge Ave,1
168,Abbey Dr,1
169,Abigail Ln,1
170,Academy Ln,1
171,Academy St,6
172,Acorn Dr,1
173,Acorn St,4
174,Acres,1
175,Adams Dr,1
176,Adams Rd,1
177,Adams St,5
178,Advent Lake Rd,1
179,Agnes Ave,2
180,Airport Ct,2
181,Airport Dr,1
182,Airview Dr,1
183,Airway Dr,7
184,Alberta Pl,1
185,Alchandylissag Dr,1
186,Alden Ct,4
187,Alden St,1
188,Alexa Ln,2
189,Alexander St,1
190,Alivia Dr,3
191,Allan Ave,1
192,Allegan Ave,3
193,Allegan County Fair Dr,2
194,Allegan Dam East BAS,4
195,Allegan Dam Rd,15
196,Allegan High School East Access,3
197,Allegan High School Front Access,1
198,Allegan High School North Access,2
199,Allegan High School South Access,1
200,Allegan High School West Access,4
201,Allegan Lake BAS,1
202,Allegan St,24
203,Allegan/N US 131 RAMP,1
204,Allen Ct,2
205,Allen Rd,1
206,Allen St,1
207,Allett St,1
208,Alley,6
209,Alpha Rd,2
210,Alpine Dr,2
211,Alpine St,1
212,Alyssa Ln,1
213,Amash Industrial Dr,1
214,Amelia St,3
215,Ames Ave,3
216,Amity St,2
217,Ammerman St,1
218,Ampitheatre Dr,3
219,Ampitheatre/S Audubon Cutoff,2
220,Anderson Dr,1
221,Andrea's Ln,2
222,Andrews Ct,2
223,Ann Ct,1
224,Ann St,1
225,Anna Michen Dr,2
226,Anns Ct,1
227,Ansbury St,1
228,Anthony Ct,2
229,Anvil Ln,4
230,Apollo Ct,7
231,Apollo Pl,3
232,Apple Blossom Ln,3
233,Apple Ridge Ct,2
234,Appleton Ct,1
235,Appy Way Ln,2
236,Arbor Creek Dr,2
237,Arbor Ln,2
238,Arbor St,4
239,Arbor Trl,2
240,Arcadia Ln,1
241,Ardmore St,1
242,Argon Ct,1
243,Ariel Dr,2
244,Arlene Ln,2
245,Armintrout Ridge Ct,2
246,Arndt Ave,1
247,Arndt Ct,2
248,Arndt Dr,2
249,Arnold St,2
250,Arrow Dr,1
251,Arrowhead Dr,2
252,Arrowhead Trl,1
253,Artian Row Ct,1
254,Artisan Row Ct,2
255,Ash Dr,1
256,Ashland Dr,1
257,Ashton,1
258,Ashville Dr,1
259,Aspen Dr,3
260,Aster St,4
261,Atkins Dr,2
262,Atlantic Ave,5
263,Audubon St,8
264,Autumn Crest Dr,1
265,Autumn Ct,1
266,Autumn Dr,2
267,Autumn Trl,4
268,Autumn Wood Dr,5
269,Avis Ln,2
270,Avon Dr,1
271,Avonlea Ln,2
272,Ayers Ave,1
273,B Ave,6
274,B J Ct,2
275,B J Dr,3
276,B St,3
277,Babylon Rd,16
278,Bailey's Cove,3
279,Bailey Ln,1
280,Baker St,4
281,Balmoral Ave,1
282,Banberry,2
283,Bandle St,2
284,Bannister St,1
285,Bardeen Ct,2
286,Barnwood Dr,3
